Movie,Month,Day,Year,Budget($M),Domestic Gross($M),Worldwide Gross($M)
Serial Mom,Apr,13,1994,13,7.881335,7.881335
Cedar Rapids,Feb,11,2011,10,6.861102,7.862131
Bad Words,Mar,14,2014,10,7.779614,7.843145
Outside Providence,Sep,1,1999,7,7.309628,7.824358
Venus,Dec,21,2006,6,3.347411,7.818479
Tupac Resurrection,Nov,14,2003,0.3,7.718961,7.808524
Sands of Iwo Jima,Jan,1,1949,1,7.8,7.8
Gentleman's Agreement,Jan,1,1947,2,7.8,7.8
Inside Job,Oct,8,2010,2,4.311834,7.799257
Nowhere Boy,Oct,8,2010,1.9,1.445366,7.785229
Real Women Have Curves,Oct,18,2002,3,5.853194,7.77779
Smoke Signals,Jun,26,1998,2,6.7193,7.756617
DOA: Dead or Alive,Jun,15,2007,30,0.480314,7.755686
The Hunting Party,Sep,7,2007,40,0.876671,7.729552
Dheepan,May,6,2016,9,0.248795,7.714549
Kevin Hart: Laugh at My Pain,Sep,9,2011,0.75,7.706436,7.712436
The Big Year,Oct,14,2011,41,7.204138,7.684524
Midnight Special,Mar,18,2016,18,3.712282,7.68025
The Hustler,Sep,25,1961,2,7.6,7.6
The Immigrant,May,16,2014,16,2.013456,7.585011
Ong-Bak 2,Oct,23,2009,15,0.102458,7.58305
Take Me Home Tonight,Mar,4,2011,19,6.928068,7.576604
Club Dread,Feb,27,2004,8.5,5.001655,7.573551
The Jerky Boys,Feb,3,1995,4,7.555256,7.555256
Donnie Darko,Oct,26,2001,4.5,1.480006,7.510877
Danny Collins,Mar,20,2015,10,5.637066,7.501132
Compadres,Apr,22,2016,3,3.127773,7.445044
A Scanner Darkly,Jul,7,2006,20,5.501616,7.405084
Requiem for a Dream,Oct,6,2000,4.5,3.635482,7.389233
Witchboard,Dec,31,1986,2,7.369373,7.369373
Morgan,Sep,2,2016,8,3.915251,7.315248
The Young Messiah,Mar,11,2016,16.8,6.469813,7.313697
Phat Girlz,Apr,7,2006,3,7.061128,7.301115
Black Nativity,Nov,27,2013,17.5,7.018188,7.285135
Phantasm II,Jul,8,1988,3,7.282851,7.282851
Under the Skin,Apr,4,2014,13.3,2.614251,7.229933
Life Before Her Eyes,Apr,18,2008,12,0.303439,7.203439
Singin' in the Rain,Apr,10,1952,2.54,7.2,7.2
Troop Beverly Hills,Mar,22,1989,18,7.190505,7.190505
Obsluhoval jsem anglického krále,Aug,29,2008,4.9,0.617228,7.174984
The Hoax,Apr,6,2007,25,7.164995,7.164995
She's Gotta Have It,Aug,8,1986,0.175,7.137502,7.137502
Hamlet,Dec,25,1996,18,4.501094,7.12967
Gigli,Aug,1,2003,54,6.087542,7.126002
Gigli,Aug,1,2003,54,6.087542,7.126002
Force 10 from Navarone,Dec,22,1978,5,7.1,7.1
The Adventures of Pluto Nash,Aug,16,2002,100,4.411102,7.094995
Rescue Dawn,Jul,4,2007,10,5.490423,7.037886
La Cara Oculta,Dec,31,2011,2.6,0,7.033931
An American Carol,Oct,3,2008,20,7.013191,7.022183
Harley Davidson and the Marlboro Man,Aug,23,1991,23,7.018525,7.018525
Veer-Zaara,Nov,12,2004,7,2.938532,7.017859
Eraserhead,Jan,1,1977,0.1,7,7.012524
Bound,Oct,4,1996,4.5,3.80226,7.011317
Crossover,Sep,1,2006,5.6,7.009668,7.009668
The Trouble with Harry,Oct,3,1955,1.2,7,7
Strangers on a Train,Jul,3,1951,1.2,7,7
Spellbound,Oct,31,1945,1.5,7,7
The Prisoner of Zenda,May,25,1979,12.5,7,7
Wasabi,Sep,27,2002,15.3,0.081525,7
Raise the Titanic,Aug,1,1980,40,7,7
Screwed,May,12,2000,12,6.98268,6.98268
Class of 1984,Aug,20,1982,3.25,6.965361,6.965361
Strange Wilderness,Feb,1,2008,20,6.575282,6.947084
The Awakening,Aug,17,2012,4.9,0.095933,6.924321
The Spectacular Now,Aug,2,2013,2.5,6.852971,6.916951
Trapped,Sep,20,2002,30,6.916869,6.916869
Red Sonja,Jun,28,1985,17.9,6.905861,6.905861
Willard,Mar,14,2003,20,6.882696,6.882696
Woman Thou Art Loosed,Oct,1,2004,3,6.87973,6.87973
200 Cigarettes,Feb,26,1999,6,6.85245,6.85245
Nie yin niang,Oct,16,2015,15,0.632542,6.832542
Namastey London,Mar,23,2007,8.4,1.207007,6.831069
Moonlight Mile,Sep,27,2002,21,6.830957,6.830957
Bran Nue Dae,Sep,10,2010,6.75,0.113568,6.81253
Hang 'em High,Aug,3,1968,1.8,6.8,6.8
The Train,Mar,7,1965,5.8,6.8,6.8
Automata,Oct,10,2014,15,0,6.775458
The Forsaken,Apr,27,2001,5,6.755271,6.755271
Nine 1/2 Weeks,Feb,21,1986,18,6.734844,6.734844
American History X,Oct,30,1998,10,6.719864,6.719864
Just Getting Started,Dec,8,2017,22,6.069605,6.709821
Roger & Me,Dec,20,1989,0.14,6.706368,6.706368
The Good German,Dec,15,2006,32,1.308696,6.678033
Kill the Messenger,Oct,10,2014,5,2.450846,6.656705
It's Kind of a Funny Story,Oct,8,2010,8,6.363628,6.63295
The Big Bounce,Jan,30,2004,50,6.471394,6.626115
Swingers,Oct,18,1996,0.2,4.505922,6.618578
Duets,Sep,15,2000,16,4.734235,6.615452
Donovan's Reef,Jan,1,1963,2.686,6.6,6.6
Wish I Was Here,Jul,18,2014,6,3.591299,6.591365
Grandma’s Boy,Jan,6,2006,5,6.090172,6.590172
Copying Beethoven,Nov,10,2006,11,0.355968,6.586324
Post Grad,Aug,21,2009,15,6.382178,6.563402
Trash,Oct,9,2015,12,0.017484,6.553186
Lost and Found,Apr,23,1999,14,6.552255,6.552255
Blood and Chocolate,Jan,26,2007,15,3.526588,6.55131
Mother and Child,May,7,2010,7,1.110509,6.537179
Lucky You,May,4,2007,55,5.755286,6.521829
Lucky You,May,4,2007,55,5.755286,6.521829
Switchback,Oct,31,1997,38,6.504442,6.504442
Teacher's Pet: The Movie,Jan,16,2004,10,6.491969,6.491969
The Good Thief,Apr,2,2003,30,3.517797,6.460758
Attack the Block,Jul,29,2011,13,1.024175,6.459183
Gods and Monsters,Nov,6,1998,3.5,6.451628,6.451628
Warriors of Virtue,May,2,1997,35,6.448817,6.448817
High Tension,Jun,10,2005,2.85,3.681066,6.435262
Against the Ropes,Feb,20,2004,39,5.881504,6.429865
My Own Private Idaho,Sep,29,1991,2.5,6.401336,6.401336
Transsiberian,Jul,18,2008,15,2.203641,6.379575
Pirates,Jul,1,1986,40,1.641825,6.341825
A Sound of Thunder,Sep,2,2005,80,1.900451,6.300451
What Planet Are You From?,Mar,3,2000,50,6.291602,6.291602
Dick,Aug,4,1999,13,6.276869,6.276869
Bleed for This,Nov,18,2016,16,5.083906,6.248077
Deuces Wild,May,3,2002,10,6.044618,6.244618
Oldboy,Mar,25,2005,3,0.707391,6.239723
Harsh Times,Nov,10,2006,2,3.337931,6.225304
Rabbit Hole,Dec,17,2010,5,2.229058,6.205034
Topsy Turvy,Dec,17,1999,20,6.201757,6.201757
Celebrity,Nov,20,1998,12,5.07866,6.2
The Straight Story,Oct,15,1999,10,6.197866,6.197866
College,Aug,29,2008,6,4.694491,6.176114
Nowhere in Africa,Mar,7,2003,6.5,6.173485,6.173485
UHF,Jul,21,1989,5,6.157157,6.157157
The Fifth Estate,Oct,18,2013,26,3.254172,6.154172
Mambo Italiano,Jun,6,2003,5.5,3.031801,6.148823
The Mighty,Oct,9,1998,0.1,2.652246,6.121582
The Border,Jan,29,1982,13.5,6.118683,6.118683
"Il buono, il brutto, il cattivo",Dec,29,1967,1.2,6.1,6.1
Dylan Dog: Dead of Night,Apr,29,2011,20,1.186538,6.093725
A Most Violent Year,Dec,31,2014,20,5.749134,6.071433
Meet the Mormons,Oct,10,2014,2,6.047363,6.049171
Megiddo: Omega Code 2,Sep,21,2001,22,6.047691,6.047691
Frozen River,Aug,1,2008,1,2.511476,6.030129
The Limey,Oct,8,1999,10,3.193102,6.030047
Foolish,Apr,9,1999,1.6,6.026908,6.026908
Rebecca,Jan,1,1940,1.288,6,6
Topaz,Dec,19,1969,4,6,6
Heartbeeps,Dec,18,1981,10,6,6
Dragonslayer,Jun,26,1981,18,6,6
Samsara,Aug,24,2012,4,2.672413,5.966671
The Return,Feb,6,2004,15,0.501752,5.953886
Severance,May,18,2007,10,0.137221,5.950002
Slackers,Feb,1,2002,11,4.814244,5.942218
All Saints,Aug,25,2017,2,5.802208,5.941994
Evil Dead II,Mar,13,1987,3.5,5.923044,5.923044
Fish Tank,Jan,15,2010,3,0.374675,5.922292
The Touch,Mar,31,2004,20,0,5.918742
Miss Sloane,Nov,25,2016,18,3.500605,5.91187
20 Feet From Stardom,Jun,14,2013,1,4.94625,5.892466
Light It Up,Nov,10,1999,13,5.871603,5.871603
Swiss Army Man,Jun,24,2016,3,4.210454,5.837111
Night of the Living Dead,Oct,19,1990,4.2,5.835247,5.835247
Ed Wood,Sep,30,1994,18,5.828466,5.828466
Detroit Rock City,Aug,13,1999,16,4.217115,5.825314
Jab Tak Hai Jaan,Nov,13,2012,9.2,3.047539,5.806666
The Skeleton Twins,Sep,12,2014,1,5.284309,5.797192
Catch a Fire,Oct,27,2006,14,4.299773,5.782198
Sheena,Aug,17,1984,25,5.778353,5.778353
Happiness,Oct,16,1998,3,2.746453,5.746453
Won't Back Down,Sep,28,2012,19,5.310554,5.745503
Gallipoli,Aug,28,1981,3,5.732587,5.732587
El crimen de padre Amaro,Nov,15,2002,1.8,5.719,5.719
Trolljegeren,Jun,10,2011,3.5,0.253444,5.706638
Who's Your Caddy?,Jul,27,2007,7,5.694308,5.694308
People I Know,Apr,25,2003,20,0.121972,5.694213
Get on the Bus,Oct,16,1996,2.4,5.691854,5.691854
Kundun,Dec,25,1997,28,5.686694,5.686694
Before Sunrise,Jan,27,1995,2.5,5.274005,5.683223
Megaforce,Jun,25,1982,18,5.675599,5.675599
The Pallbearer,May,3,1996,8,5.656388,5.656388
Underclassman,Sep,2,2005,25,5.654777,5.654777
Genius,Jun,10,2016,17,1.361045,5.653176
Monsters,Oct,29,2010,0.5,0.237301,5.63973
The Frozen Ground,Aug,23,2013,19.2,0,5.61746
Man on Wire,Jul,25,2008,1.9,2.962242,5.617067
Once Upon a Time in America,Jun,1,1984,30,5.321508,5.575648
For Your Consideration,Nov,17,2006,12,5.549923,5.549923
The Brothers Bloom,May,15,2009,20,3.531756,5.531756
Anomalisa,Dec,30,2015,8,3.759286,5.531455
The Meddler,Apr,22,2016,3.2,4.267219,5.526942
Aqua Teen Hunger Force Colon Movie Film for Theaters,Apr,13,2007,0.75,5.520368,5.520368
Say It Isn't So,Mar,23,2001,25,5.516708,5.516708
Slums of Beverly Hills,Aug,14,1998,5,5.502773,5.502773
Tucker & Dale vs. Evil,Sep,30,2011,5,0.223838,5.476793
Made,Jul,13,2001,5,5.308707,5.47606
Virgin Territory,Aug,26,2008,38,0,5.473041
Martha Marcy May Marlene,Oct,21,2011,1,2.981038,5.438911
Heavenly Creatures,Nov,16,1994,5,3.046086,5.43812
Everybody Wants Some,Mar,30,2016,10,3.400278,5.437126
Split Second,May,1,1992,7,5.430822,5.430822
Tango,Feb,12,1999,4.5,1.687311,5.428387
Human Traffic,May,5,2000,3.3,0.104257,5.42274
Monkeybone,Feb,23,2001,75,5.409517,5.409517
1612,Apr,7,2009,12,0,5.400624
She Wore a Yellow Ribbon,Jan,1,1949,1.6,5.4,5.4
Diary of the Dead,Feb,15,2008,2.75,0.95262,5.394447
October Baby,Mar,23,2012,1,5.355847,5.391992
Rejsen til Saturn,Dec,31,2008,2.7,0,5.377665
A Guy Named Joe,Dec,24,1943,2.627,5.363,5.363
Rocket Singh: Salesman of the Year,Dec,11,2009,1.07,0.164649,5.348767
Equilibrium,Dec,6,2002,20,1.190018,5.345869
C'era una volta il West,May,28,1969,5,5.321508,5.321508
Wild Target,Oct,29,2010,8,0.109338,5.314194
The Proposition,May,5,2006,20,1.903434,5.313608
Ironclad,Jul,8,2011,25,0,5.297411
Charlie Bartlett,Feb,22,2008,12,3.950294,5.295909
The Runaways,Mar,19,2010,9.5,3.573673,5.278632
Collide,Feb,24,2017,29.2,2.280004,5.278519
San Francisco,Jun,26,1936,1.3,2.868,5.273
Love Letters,Apr,27,1984,0.55,5.26999,5.26999
The Lost City,Apr,28,2006,9.6,2.484186,5.256839
Black and White,Apr,5,2000,10,5.241315,5.241315
Hollywood Shuffle,Mar,1,1987,0.1,5.228617,5.228617
The In Crowd,Jul,19,2000,15,5.217498,5.217498
Formula 51,Oct,18,2002,27,5.204007,5.204007
"Paris, je t'aime",May,4,2007,13,4.857374,5.175088
The House of Mirth,Dec,22,2000,10,3.041803,5.149131
The Hotel New Hampshire,Mar,9,1984,7.5,5.142858,5.142858
Exotica,Sep,23,1994,1.5,5.046118,5.046118
The Beaver,May,6,2011,21,0.970816,5.046038
The Swindle,Dec,25,1998,10,0.245359,5.045359
Welcome to the Dollhouse,May,10,1996,0.8,4.198137,5.034794
Hands of Stone,Aug,26,2016,20,4.712792,5.032013
Monty Python and the Holy Grail,May,10,1975,0.4,3.427696,5.028948
Nikita,Mar,8,1991,7,5.017971,5.017971
Bubble Boy,Aug,24,2001,13,5.00231,5.00231
"The Beast from 20,000 Fathoms",Jun,13,1953,0.21,5,5
Pocketful of Miracles,Jan,1,1961,2.9,5,5
The Ballad of Cable Hogue,May,13,1970,3.716946,3.5,5
Darling Lili,Jan,1,1970,22,5,5
Invaders from Mars,Jun,6,1986,12,4.884663,4.984663
Take Shelter,Sep,30,2011,4.75,1.728953,4.972016
Gloria,Jan,22,1999,30,4.167493,4.967493
Jakob the Liar,Sep,24,1999,15,4.956401,4.956401
Robot & Frank,Aug,17,2012,2.5,3.317468,4.934356
Hamlet 2,Aug,22,2008,9,4.886216,4.934104
From Justin to Kelly,Jun,20,2003,12,4.922166,4.922166
Half Nelson,Aug,11,2006,0.7,2.697938,4.911725
Girl 6,Mar,22,1996,12,4.880941,4.880941
Genghis Khan: To the Ends of the Earth and Sea,Feb,21,2008,30,0.003892,4.874498
Galaxina,Jun,6,1980,5.5,4.865,4.865
Rize,Jun,24,2005,0.7,3.278611,4.857731
"Guten Tag, Ramon",Jan,30,2015,4,0.154356,4.854356
90 Minutes in Heaven,Sep,11,2015,5,4.816142,4.816142
Bottle Shock,Aug,6,2008,5,4.078607,4.81589
Igby Goes Down,Sep,13,2002,9,4.777465,4.777465
The Fall of the Roman Empire,Jan,1,1964,19,4.75,4.75
A Walk on the Moon,Mar,26,1999,14,4.741987,4.741987
"Food, Inc.",Jun,12,2009,1,4.417674,4.731944
Tao Jie,Feb,26,2013,5.4,0,4.728896
My Summer of Love,Jun,17,2005,1.7,1.000915,4.727375
The Other Side of Heaven,Dec,14,2001,7,4.720371,4.720371
Held Up,May,12,2000,8,4.71409,4.71409
Miss March,Mar,13,2009,6,4.54332,4.713059
"Jeff, Who Lives at Home",Mar,16,2012,10,4.269426,4.708127
C.H.U.D.,Aug,31,1984,1.25,4.7,4.7
On the Line,Oct,26,2001,10,4.365455,4.690802
Pi,Jul,10,1998,0.068,3.221152,4.678513
Rogue,Apr,25,2008,23,0.010452,4.673377
Demonic,Oct,10,2017,3,0,4.668109
Killer Joe,Jul,27,2012,10,1.291645,4.65911
Radio Flyer,Feb,21,1992,35,4.651977,4.651977
Let's Go to Prison,Nov,17,2006,4,4.630045,4.630045
Lovely and Amazing,Jun,28,2002,0.25,4.210379,4.613482
Welcome to Collinwood,Oct,4,2002,12,0.37865,4.606284
River's Edge,May,8,1987,1.9,4.6,4.6
"Don Gato, el inicio de la pandilla",Sep,29,2017,8,0,4.582848
Submarine,Jun,3,2011,1.9,0.467602,4.581937
Please Give,Apr,30,2010,3,4.033574,4.570178
Flying By,Jul,7,2009,5,0,4.568257
Mumford,Sep,24,1999,28.7,4.559569,4.559569
Lilja 4-ever,Apr,18,2003,4.5,0.181655,4.556982
Flash of Genius,Oct,3,2008,20,4.442377,4.504111
Bound by Honor,Apr,16,1993,35,4.496583,4.496583
Only God Forgives,Jul,19,2013,4.8,0.775849,4.49456
Flawless,Nov,24,1999,27,4.485485,4.485485
Geograf globus propil,Dec,31,2013,4,0,4.454853
Passchendaele,Oct,24,2008,20,4.452423,4.453327
Safety Not Guaranteed,Jun,8,2012,0.75,4.010957,4.422318
The Conversation,Apr,7,1974,1.6,4.42,4.42
Don’t Think Twice,Jul,22,2016,3,4.417983,4.417983
Keeping Up with the Steins,May,12,2006,5,4.339241,4.414753
Inchon,Sep,17,1982,46,4.408636,4.408636
McHale's Navy,Apr,18,1997,42,4.40842,4.40842
Simply Irresistible,Feb,5,1999,6,4.398989,4.398989
"Synecdoche, New York",Oct,24,2008,20,3.083538,4.383538
Dark Angel,Sep,28,1990,7,4.372561,4.372561
Solitary Man,May,21,2010,12.5,4.360548,4.360548
The Broadway Melody,Feb,1,1929,0.379,2.8,4.358
Bogus,Sep,6,1996,32,4.357406,4.357406
Meet the Deedles,Mar,27,1998,24,4.356126,4.356126
PCU,Apr,29,1994,9,4.333569,4.333569
Lucky Break,Apr,5,2002,6,0.054606,4.316497
Velvet Goldmine,Nov,6,1998,9,1.053788,4.313644
Four Rooms,Dec,25,1995,4,4.301,4.301
Per qualche dollaro in più,May,10,1967,0.6,4.3,4.3
Eden Lake,Oct,31,2008,2,0.007321,4.294373
Flipped,Aug,6,2010,14,1.755212,4.289993
Soul Survivors,Sep,7,2001,14,3.10065,4.288246
Glitter,Sep,21,2001,8.5,4.273372,4.273372
Brick,Mar,31,2006,0.45,2.075743,4.243996
Men with Brooms,Mar,8,2002,7.5,4.239767,4.239767
The Gospel of John,Sep,26,2003,11,4.068087,4.234355
Holy Motors,Oct,17,2012,4,0.641054,4.230426
Left Behind,Feb,2,2001,18.5,4.221341,4.221341
The Damned United,Oct,9,2009,6.4,0.449865,4.199874
Richard III,Dec,29,1995,9.2,2.684904,4.199334
Witless Protection,Feb,22,2008,7.5,4.151836,4.151836
Whipped,Sep,1,2000,3,4.142507,4.142507
The To Do List,Jul,26,2013,1.5,3.491669,4.128828
Choke,Sep,26,2008,3.4,2.926565,4.124277
Kama Sutra,Feb,28,1997,3,4.109095,4.109095
Restoration,Dec,29,1995,18,4.1,4.1
Flood,Dec,31,2007,24,0,4.084232
Stone,Oct,8,2010,22,1.810078,4.06502
Tank Girl,Mar,1,1995,25,4.064333,4.064333
An Inconvenient Sequel,Jul,28,2017,1,3.496795,4.062957
King's Ransom,Apr,22,2005,25,4.008527,4.049527
Idle Hands,Apr,30,1999,15,4.023741,4.023741
There Be Dragons,May,6,2011,36,1.069334,4.02099
8 Heads in a Duffel Bag,Apr,18,1997,3,3.602884,4.002884
American Ninja 2: The Confrontation,Jan,1,1987,0.35,4,4
You Can't Take It With You,Jan,1,1938,1.644,4,4
Alexander's Ragtime Band,Jan,1,1938,2,4,4
Willy Wonka & the Chocolate Factory,Jun,30,1971,3,4,4
The Perfect Game,Apr,16,2010,12.5,1.089445,3.931367
Gracie,Jun,1,2007,9,2.956339,3.922043
Warlock: The Armageddon,Sep,24,1993,3,3.902679,3.902679
L'auberge espagnole,Mar,21,2003,5.9,3.895664,3.895664
Clerks,Oct,19,1994,0.027,3.073428,3.89424
Tulip Fever,Sep,1,2017,25,2.455635,3.882453
Rules Don’t Apply,Nov,23,2016,26.7,3.652206,3.871448
You Kill Me,Jun,22,2007,4,2.426851,3.858964
Brick Lane,Jun,20,2008,2.5,1.094998,3.838486
To Save a Life,Jan,22,2010,0.5,3.77721,3.824868
The Real Cancun,Apr,25,2003,4,3.816594,3.816594
Better Luck Tomorrow,Apr,11,2003,0.25,3.80239,3.809226
Green Room,Apr,15,2016,5,3.220371,3.807503
Free Fire,Apr,21,2017,10,1.799322,3.793739
Celeste and Jesse Forever,Aug,3,2012,0.84,3.103407,3.787689
Jane Got a Gun,Jan,29,2016,25,1.513793,3.771345
Hedwig and the Angry Inch,Jul,20,2001,6,3.067312,3.74003
Like Crazy,Oct,28,2011,0.25,3.395391,3.731489
By the Sea,Nov,13,2015,20,0.53846,3.727746
Machine Gun Preacher,Sep,23,2011,30,0.53869,3.721988
Jekyll and Hyde... Together Again,Aug,27,1982,5,3.707583,3.707583
Thirteen Conversations About One Thing,May,24,2002,3,3.287435,3.705923
The Day the Earth Stood Still,Mar,4,2003,1.2,3.7,3.7
Days of Heaven,Sep,13,1978,3,3.446749,3.66088
The Iceman,May,3,2013,10,1.930282,3.623609
Lesbian Vampire Killers,Dec,29,2009,2,0,3.620902
The Killer Inside Me,Jun,18,2010,13,0.217277,3.617277
BloodRayne,Jan,6,2006,25,2.40542,3.60542
Cats Don't Dance,Mar,26,1997,32,3.588602,3.588602
Fireflies in the Garden,Oct,14,2011,8,0.036884,3.587191
The Secret of Kells,Mar,5,2010,8,0.69029,3.582797
The Sidewalks of New York,Nov,21,2001,1,2.402459,3.575308
American Anthem,Jun,27,1986,7,3.571624,3.571624
Pieces of April,Oct,17,2003,0.3,2.528664,3.571253
The Neon Demon,Jun,24,2016,7.5,1.333124,3.559803
Junebug,Aug,3,2005,1,2.67801,3.553253
The Joneses,Apr,16,2010,10,1.475746,3.541565
The Paperboy,Oct,5,2012,12.5,0.6772,3.522153
Per un pugno di dollari,Jan,18,1967,0.2,3.5,3.5
Bathing Beauty,Jan,1,1944,2.361,3.5,3.5
State Fair,Mar,9,1962,4.5,3.5,3.5
Veronica Mars,Mar,14,2014,6,3.322127,3.485383
Heaven's Gate,Nov,19,1980,44,3.484331,3.484523
Camping Sauvage,Jul,16,2004,4.6,3.479302,3.479302
Talk Radio,Dec,1,1988,4,3.468572,3.468572
Next Stop Wonderland,Aug,21,1998,1,3.395581,3.465703
Shattered Glass,Oct,31,2003,6,2.207975,3.456602
Chiamatemi Francesco - Il papa della gente,Dec,31,2015,15,0,3.454036
Beneath Hill 60,Jun,17,2014,9,0,3.440939
Full Frontal,Aug,2,2002,2,2.512846,3.438804
The Ultimate Gift,Mar,9,2007,9,3.438735,3.438735
Bathory,Dec,31,2008,15,0,3.436763
Child 44,Apr,17,2015,50,1.22433,3.43433
The Company,Dec,25,2003,15,2.281585,3.396508
Crash,Oct,4,1996,10,3.357324,3.357324
Unknown,Nov,3,2006,3.7,0.026403,3.355048
The Work and the Glory,Nov,24,2004,7.5,3.347647,3.347647
Atlas Shrugged: Part II,Oct,12,2012,10,3.336053,3.336053
The Wackness,Jul,3,2008,6,2.077046,3.330012
Heist,Nov,13,2015,8.9,0.050136,3.324184
Obvious Child,Jun,6,2014,1,3.122616,3.32407
Pootie Tang,Jun,29,2001,3.5,3.293258,3.293258
Riding Giants,Jul,9,2004,2.6,2.276368,3.292333
Sunshine State,Jun,21,2002,5.6,3.064356,3.281898
Romeo Is Bleeding,Feb,4,1994,10,3.275585,3.275585
Only the Strong,Aug,27,1993,6,3.273588,3.273588
Pathology,Apr,18,2008,8,0.109045,3.270974
Tadpole,Jul,19,2002,0.15,2.891288,3.270128
Resurrecting the Champ,Aug,24,2007,13,3.172382,3.260555
Peaceful Warrior,Jun,2,2006,10,2.893666,3.260179
Supercross,Aug,17,2005,30,3.10255,3.25255
Letters to God,Apr,9,2010,3,2.848587,3.237452
Romance and Cigarettes,Sep,7,2007,11,0.551002,3.231251
Top Hat,Sep,6,1935,0.609,1.782,3.202
The Rover,Jun,13,2014,8.5,1.109199,3.180252
Wordplay,Jun,16,2006,0.5,3.12127,3.177636
Rosewater,Nov,14,2014,10,3.128941,3.168858
Maurice,Jan,1,1987,2.6,3.14795,3.14795
Beautiful,Sep,29,2000,9,3.134509,3.134509
Imagine Me & You,Jan,27,2006,7.9,0.672243,3.129471
Boynton Beach Club,Mar,24,2006,2.9,3.127472,3.127472
The Last House on the Left,Aug,30,1972,0.087,3.1,3.1
Dear Frankie,Mar,4,2005,4.6,1.340891,3.099369
Your Sister's Sister,Jun,15,2012,0.12,1.597486,3.090593
Jawbreaker,Feb,19,1999,3,3.07682,3.07682
Tristram Shandy: A Cock and Bull Story,Jan,27,2006,4.75,1.253413,3.061763
The Widow of St. Pierre,Mar,2,2001,13,3.05838,3.05838
Songcatcher,Jun,15,2001,1.8,3.050934,3.050934
Que Horas Ela Volta?,Aug,28,2015,1.2,0.376976,3.048209
The East,May,31,2013,6.5,2.274649,3.027956
Over the Hill to the Poorhouse,Sep,17,1920,0.1,3,3
Fengkuang de Shitou,Dec,31,2006,0.5,0,3
Malone,May,1,1987,10,3,3
Married Life,Mar,7,2008,12,1.506998,2.975188
Basquiat,Aug,9,1996,3,2.962051,2.962051
The Pirate,Jan,1,1948,3.7,2.956,2.956
Isn't She Great,Jan,28,2000,36,2.954405,2.954405
Filly Brown,Apr,19,2013,1.25,2.850357,2.940411
Metropolitan,Aug,3,1990,0.43,2.938,2.938
Blood Ties,Mar,21,2014,26,0.042472,2.923959
Waiting for Guffman,Jan,31,1997,4,2.922988,2.922988
Raising Victor Vargas,Mar,28,2003,0.8,2.073984,2.900578
Cradle Will Rock,Dec,8,1999,32,2.89997,2.89997
Find Me Guilty,Mar,17,2006,13,1.173673,2.898225
"Happy, Texas",Oct,1,1999,1.7,2.039192,2.891228
In the Company of Men,Aug,1,1997,0.025,2.883661,2.883661
Jindabyne,Apr,27,2007,10.8,0.399879,2.862544
Home Run,Apr,19,2013,1.2,2.859955,2.859955
Othello,Dec,14,1995,11,2.844379,2.844379
eXistenZ,Apr,23,1999,20.7,2.840417,2.840417
Adam,Jul,29,2009,3.2,2.283291,2.834485
Reservoir Dogs,Oct,23,1992,1.2,2.832029,2.832029
Everything Must Go,May,13,2011,5,2.712131,2.82101
The White Countess,Dec,21,2005,16,1.669971,2.814566
Quinceanera,Aug,2,2006,0.4,1.692693,2.797199
The Perez Family,May,12,1995,11,2.794056,2.794056
Love Stinks,Sep,10,1999,4,2.793776,2.793776
Captive,Sep,18,2015,2,2.583301,2.791973
Restless,Sep,16,2011,8,0.163753,2.772511
Blood Simple,Jan,18,1985,1.5,1.690913,2.730877
Wuthering Heights,Oct,5,2012,8,0.100915,2.721534
Ajami,Feb,3,2010,1,0.621859,2.721096
Goodbye Bafana,Dec,14,2007,30,0,2.717302
Chéri,Jun,26,2009,23,2.715657,2.715657
Straight out of Brooklyn,Jan,1,1991,0.45,2.712293,2.712293
Auto Focus,Oct,18,2002,7,2.062066,2.703821
Bronson,Oct,9,2009,0.23,0.104979,2.703762
Bobby Jones: Stroke of Genius,Apr,30,2004,17,2.694071,2.694071
No Man's Land,Dec,7,2001,1,1.067481,2.684207
Redbelt,May,2,2008,7,2.344847,2.667084
The Signal,Jun,13,2014,4,0.600896,2.665322
God's Army,Mar,10,2000,0.3,2.637726,2.652515
Mississippi Mermaid,Jan,15,1999,1.6,0.027795,2.627795
Shalako,Jan,1,1968,1.455,2.62,2.62
Infamous,Oct,13,2006,13,1.15133,2.613717
Limbo,Jun,4,1999,8.3,2.16071,2.598224
N-Secure,Oct,15,2010,1.6,2.595644,2.595644
The Gatekeepers,Feb,1,2013,1.5,2.408553,2.592308
Trust the Man,Aug,18,2006,9,1.530535,2.548378
Love and Death on Long Island,Mar,6,1998,4.03,2.542264,2.542264
Bucky Larson: Born to Be a Star,Sep,9,2011,10,2.529395,2.529395
When The Cat's Away,Sep,20,1996,0.3,1.652472,2.525984
Novocaine,Nov,16,2001,6,2.025238,2.522928
But I'm a Cheerleader,Jul,7,2000,1.2,2.205627,2.509344
Grace Unplugged,Oct,4,2013,1.7,2.507159,2.507159
It Happened One Night,Jan,1,1934,0.325,2.5,2.5
Niagara,Jan,21,1953,1.25,2.5,2.5
Unforgettable,Feb,23,1996,18,2.48379,2.48379
After.Life,Apr,9,2010,4.5,0.108596,2.481925
The Incredibly True Adventure of Two Girls in Love,Jun,16,1995,0.25,2.210408,2.477155
